IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.145.174,4,4,0.00,234.98,0.00
104.22.13.76,4,4,0.00,234.98,0.00
104.20.199.42,4,4,0.00,235.01,0.00
172.65.169.57,4,4,0.00,235.01,0.00
45.131.211.23,4,4,0.00,235.01,0.00
104.16.206.32,4,4,0.00,235.04,0.00
172.65.117.52,4,4,0.00,235.05,0.00
104.17.253.48,4,4,0.00,235.10,0.00
172.65.83.48,4,4,0.00,235.10,0.00
104.20.69.111,4,4,0.00,235.11,0.00
104.20.208.71,4,4,0.00,235.11,0.00
104.17.156.168,4,4,0.00,235.17,0.00
172.65.247.211,4,4,0.00,235.18,0.00
104.24.21.168,4,4,0.00,235.21,0.00
104.18.191.132,4,4,0.00,235.22,0.00
172.65.1.77,4,4,0.00,235.23,0.00
172.65.138.254,4,4,0.00,235.25,0.00
172.66.195.1,4,4,0.00,235.26,0.00
104.16.13.118,4,4,0.00,235.33,0.00
104.16.58.11,4,4,0.00,235.34,0.00
104.18.160.19,4,4,0.00,235.41,0.00
104.17.247.13,4,4,0.00,235.53,0.00
196.13.241.111,4,4,0.00,235.60,0.00
172.65.85.33,4,4,0.00,235.68,0.00
104.25.71.136,4,4,0.00,235.71,0.00
104.17.31.90,4,4,0.00,235.79,0.00
104.17.91.93,4,4,0.00,235.79,0.00
104.18.114.93,4,4,0.00,235.84,0.00
104.20.180.157,4,4,0.00,235.91,0.00
217.163.76.156,4,4,0.00,235.97,0.00
104.17.48.11,4,4,0.00,235.97,0.00
104.19.5.165,4,4,0.00,235.98,0.00
104.17.56.38,4,4,0.00,235.98,0.00
104.16.12.175,4,4,0.00,236.08,0.00
104.16.173.154,4,4,0.00,236.10,0.00
104.24.91.93,4,4,0.00,236.10,0.00
104.18.190.30,4,4,0.00,236.11,0.00
172.67.116.147,4,4,0.00,236.11,0.00
104.17.64.252,4,4,0.00,236.17,0.00
104.24.200.137,4,4,0.00,236.21,0.00
172.64.155.204,4,4,0.00,236.22,0.00
172.67.118.152,4,4,0.00,236.23,0.00
104.16.169.182,4,4,0.00,236.25,0.00
104.16.181.246,4,4,0.00,236.28,0.00
104.18.65.113,4,4,0.00,236.36,0.00
104.17.140.215,4,4,0.00,236.43,0.00
104.17.22.196,4,4,0.00,236.45,0.00
104.27.29.239,4,4,0.00,236.51,0.00
104.25.35.169,4,4,0.00,236.54,0.00
45.159.217.200,4,4,0.00,236.54,0.00
104.18.179.120,4,4,0.00,236.55,0.00
104.24.2.73,4,4,0.00,236.56,0.00
104.18.222.140,4,4,0.00,236.56,0.00
104.18.72.198,4,4,0.00,236.59,0.00
104.24.52.133,4,4,0.00,236.66,0.00
104.16.120.45,4,4,0.00,236.69,0.00
104.17.35.170,4,4,0.00,236.74,0.00
104.16.233.71,4,4,0.00,236.74,0.00
104.20.243.157,4,4,0.00,236.75,0.00
104.20.155.65,4,4,0.00,236.78,0.00
104.18.159.184,4,4,0.00,236.85,0.00
156.229.48.34,4,4,0.00,236.91,0.00
104.16.240.214,4,4,0.00,236.95,0.00
104.18.175.190,4,4,0.00,236.96,0.00
104.18.178.163,4,4,0.00,236.97,0.00
104.19.0.104,4,4,0.00,236.98,0.00
185.176.24.20,4,4,0.00,236.99,0.00
104.18.89.114,4,4,0.00,237.09,0.00
104.16.89.84,4,4,0.00,237.10,0.00
104.17.107.251,4,4,0.00,237.10,0.00
172.65.157.227,4,4,0.00,237.11,0.00
104.20.213.141,4,4,0.00,237.16,0.00
104.19.82.204,4,4,0.00,237.17,0.00
172.66.208.74,4,4,0.00,237.20,0.00
104.22.27.120,4,4,0.00,237.21,0.00
172.65.243.202,4,4,0.00,237.26,0.00
104.16.223.87,4,4,0.00,237.27,0.00
104.18.70.96,4,4,0.00,237.30,0.00
104.16.227.174,4,4,0.00,237.33,0.00
104.18.1.239,4,4,0.00,237.36,0.00
104.25.104.67,4,4,0.00,237.37,0.00
104.17.94.136,4,4,0.00,237.38,0.00
104.19.212.209,4,4,0.00,237.42,0.00
104.22.65.211,4,4,0.00,237.49,0.00
104.24.77.210,4,4,0.00,237.49,0.00
104.27.89.160,4,4,0.00,237.52,0.00
104.16.30.249,4,4,0.00,237.53,0.00
172.67.26.245,4,4,0.00,237.53,0.00
104.17.125.188,4,4,0.00,237.55,0.00
104.25.146.88,4,4,0.00,237.56,0.00
104.18.246.102,4,4,0.00,237.56,0.00
172.66.209.245,4,4,0.00,237.58,0.00
167.68.5.65,4,4,0.00,237.61,0.00
104.19.36.235,4,4,0.00,237.66,0.00
172.65.250.29,4,4,0.00,237.68,0.00
203.55.107.106,4,4,0.00,237.68,0.00
104.19.211.63,4,4,0.00,237.68,0.00
104.19.162.15,4,4,0.00,237.69,0.00
104.17.70.11,4,4,0.00,237.70,0.00
104.17.21.91,4,4,0.00,237.71,0.00
104.17.163.122,4,4,0.00,237.72,0.00
104.24.128.109,4,4,0.00,237.73,0.00
104.24.190.142,4,4,0.00,237.74,0.00
104.19.245.181,4,4,0.00,237.75,0.00
104.24.194.17,4,4,0.00,237.83,0.00
104.17.158.133,4,4,0.00,237.89,0.00
104.17.19.32,4,4,0.00,237.91,0.00
104.17.187.200,4,4,0.00,237.94,0.00
104.17.143.26,4,4,0.00,237.96,0.00
104.24.95.117,4,4,0.00,237.96,0.00
104.24.159.43,4,4,0.00,237.97,0.00
104.19.37.124,4,4,0.00,238.01,0.00
104.17.157.10,4,4,0.00,238.04,0.00
104.20.185.81,4,4,0.00,238.07,0.00
172.67.82.78,4,4,0.00,238.09,0.00
104.17.148.114,4,4,0.00,238.11,0.00
104.16.218.130,4,4,0.00,238.16,0.00
104.18.157.146,4,4,0.00,238.20,0.00
104.16.185.163,4,4,0.00,238.23,0.00
104.25.55.28,4,4,0.00,238.24,0.00
104.17.171.132,4,4,0.00,238.25,0.00
172.64.89.18,4,4,0.00,238.28,0.00
104.24.229.238,4,4,0.00,238.29,0.00
104.24.59.55,4,4,0.00,238.33,0.00
104.18.155.12,4,4,0.00,238.33,0.00
104.17.240.66,4,4,0.00,238.34,0.00
104.24.203.181,4,4,0.00,238.38,0.00
104.19.93.102,4,4,0.00,238.42,0.00
104.19.18.219,4,4,0.00,238.43,0.00
104.25.159.113,4,4,0.00,238.45,0.00
104.27.101.80,4,4,0.00,238.51,0.00
172.67.17.42,4,4,0.00,238.52,0.00
104.16.167.139,4,4,0.00,238.53,0.00
104.17.244.209,4,4,0.00,238.56,0.00
172.66.130.104,4,4,0.00,238.60,0.00
104.24.202.153,4,4,0.00,238.60,0.00
104.17.166.43,4,4,0.00,238.60,0.00
104.17.87.127,4,4,0.00,238.62,0.00
104.18.220.134,4,4,0.00,238.63,0.00
104.24.230.98,4,4,0.00,238.64,0.00
154.83.2.46,4,4,0.00,238.65,0.00
104.24.222.240,4,4,0.00,238.65,0.00
93.114.64.12,4,4,0.00,238.67,0.00
104.24.13.71,4,4,0.00,238.69,0.00
104.19.69.216,4,4,0.00,238.69,0.00
104.20.104.101,4,4,0.00,238.70,0.00
104.19.28.148,4,4,0.00,238.73,0.00
104.16.166.83,4,4,0.00,238.74,0.00
104.19.219.63,4,4,0.00,238.78,0.00
104.16.83.48,4,4,0.00,238.81,0.00
104.17.47.244,4,4,0.00,238.81,0.00
104.16.229.162,4,4,0.00,238.82,0.00
198.41.200.81,4,4,0.00,238.86,0.00
104.27.96.149,4,4,0.00,238.89,0.00
188.42.89.145,4,4,0.00,238.91,0.00
104.25.25.143,4,4,0.00,238.96,0.00
104.19.215.50,4,4,0.00,239.02,0.00
104.20.63.91,4,4,0.00,239.02,0.00
104.24.130.131,4,4,0.00,239.10,0.00
198.41.205.150,4,4,0.00,239.11,0.00
104.18.237.118,4,4,0.00,239.13,0.00
104.16.220.148,4,4,0.00,239.14,0.00
104.17.66.119,4,4,0.00,239.15,0.00
172.65.89.11,4,4,0.00,239.15,0.00
104.27.26.3,4,4,0.00,239.16,0.00
172.67.206.212,4,4,0.00,239.17,0.00
104.18.247.14,4,4,0.00,239.17,0.00
104.25.161.229,4,4,0.00,239.18,0.00
104.16.217.227,4,4,0.00,239.20,0.00
104.17.221.42,4,4,0.00,239.20,0.00
104.17.154.198,4,4,0.00,239.26,0.00
104.16.80.185,4,4,0.00,239.27,0.00
104.19.163.96,4,4,0.00,239.29,0.00
104.17.104.235,4,4,0.00,239.30,0.00
162.159.21.95,4,4,0.00,239.34,0.00
104.19.160.249,4,4,0.00,239.34,0.00
104.19.171.225,4,4,0.00,239.35,0.00
104.16.209.37,4,4,0.00,239.36,0.00
104.16.161.25,4,4,0.00,239.45,0.00
104.17.103.211,4,4,0.00,239.47,0.00
104.19.84.158,4,4,0.00,239.49,0.00
104.24.1.193,4,4,0.00,239.54,0.00
104.16.207.222,4,4,0.00,239.56,0.00
104.18.140.225,4,4,0.00,239.59,0.00
104.24.46.197,4,4,0.00,239.63,0.00
104.19.182.60,4,4,0.00,239.66,0.00
172.66.169.122,4,4,0.00,239.68,0.00
172.66.200.159,4,4,0.00,239.70,0.00
104.27.116.182,4,4,0.00,239.71,0.00
104.25.76.44,4,4,0.00,239.74,0.00
104.16.219.176,4,4,0.00,239.74,0.00
104.17.119.236,4,4,0.00,239.75,0.00
104.17.206.84,4,4,0.00,239.76,0.00
104.24.142.1,4,4,0.00,239.76,0.00
104.17.153.209,4,4,0.00,239.80,0.00
104.19.72.154,4,4,0.00,239.81,0.00
172.66.211.140,4,4,0.00,239.81,0.00
104.17.24.48,4,4,0.00,239.88,0.00
172.65.94.170,4,4,0.00,239.89,0.00
104.17.62.48,4,4,0.00,239.91,0.00
104.20.89.166,4,4,0.00,239.93,0.00
104.24.89.119,4,4,0.00,239.94,0.00
104.17.54.228,4,4,0.00,239.95,0.00
172.66.196.152,4,4,0.00,239.96,0.00
104.18.236.151,4,4,0.00,239.97,0.00
172.65.140.186,4,4,0.00,239.97,0.00
104.24.186.48,4,4,0.00,239.97,0.00
104.17.23.106,4,4,0.00,239.98,0.00
104.19.77.144,4,4,0.00,239.98,0.00
104.20.223.231,4,4,0.00,240.00,0.00
172.65.88.163,4,4,0.00,240.10,0.00
104.25.198.165,4,4,0.00,240.12,0.00
104.16.28.41,4,4,0.00,240.15,0.00
104.24.154.188,4,4,0.00,240.17,0.00
104.20.2.208,4,4,0.00,240.19,0.00
108.165.216.60,4,4,0.00,240.19,0.00
172.64.144.145,4,4,0.00,240.23,0.00
162.159.254.177,4,4,0.00,240.25,0.00
162.159.245.208,4,4,0.00,240.28,0.00
104.18.117.204,4,4,0.00,240.33,0.00
162.159.244.199,4,4,0.00,240.35,0.00
104.19.106.108,4,4,0.00,240.36,0.00
104.20.88.241,4,4,0.00,240.40,0.00
172.66.206.76,4,4,0.00,240.41,0.00
172.65.78.9,4,4,0.00,240.49,0.00
104.20.99.140,4,4,0.00,240.54,0.00
45.12.30.226,4,4,0.00,240.57,0.00
104.24.53.37,4,4,0.00,240.58,0.00
104.22.9.42,4,4,0.00,240.61,0.00
104.19.161.129,4,4,0.00,240.65,0.00
172.65.97.39,4,4,0.00,240.69,0.00
104.20.61.226,4,4,0.00,240.70,0.00
104.16.214.121,4,4,0.00,240.72,0.00
104.16.145.72,4,4,0.00,240.74,0.00
172.65.207.165,4,4,0.00,240.76,0.00
104.24.136.169,4,4,0.00,240.78,0.00
104.17.204.37,4,4,0.00,240.80,0.00
172.66.1.84,4,4,0.00,240.81,0.00
172.67.112.119,4,4,0.00,240.83,0.00
104.20.225.94,4,4,0.00,240.86,0.00
104.24.192.39,4,4,0.00,240.86,0.00
5.226.181.168,4,4,0.00,240.87,0.00
104.23.96.232,4,4,0.00,240.89,0.00
172.67.123.75,4,4,0.00,240.92,0.00
104.18.255.191,4,4,0.00,240.93,0.00
45.131.7.157,4,4,0.00,240.98,0.00
104.19.177.174,4,4,0.00,240.98,0.00
104.25.57.156,4,4,0.00,241.00,0.00
104.16.112.207,4,4,0.00,241.00,0.00
104.16.204.232,4,4,0.00,241.02,0.00
172.67.18.73,4,4,0.00,241.03,0.00
104.17.200.44,4,4,0.00,241.03,0.00
104.25.29.147,4,4,0.00,241.03,0.00
104.24.7.80,4,4,0.00,241.04,0.00
104.17.60.104,4,4,0.00,241.05,0.00
104.20.95.68,4,4,0.00,241.05,0.00
172.66.212.202,4,4,0.00,241.11,0.00
104.18.228.57,4,4,0.00,241.17,0.00
104.24.242.117,4,4,0.00,241.20,0.00
104.16.29.192,4,4,0.00,241.21,0.00
162.159.201.68,4,4,0.00,241.22,0.00
162.159.241.75,4,4,0.00,241.24,0.00
172.67.119.127,4,4,0.00,241.24,0.00
162.159.255.94,4,4,0.00,241.26,0.00
188.42.145.217,4,4,0.00,241.26,0.00
104.16.197.44,4,4,0.00,241.27,0.00
104.27.15.211,4,4,0.00,241.28,0.00
172.65.76.100,4,4,0.00,241.29,0.00
104.16.202.159,4,4,0.00,241.30,0.00
104.25.112.249,4,4,0.00,241.32,0.00
104.24.231.10,4,4,0.00,241.33,0.00
104.20.108.111,4,4,0.00,241.34,0.00
104.19.254.106,4,4,0.00,241.41,0.00
104.24.39.212,4,4,0.00,241.41,0.00
104.25.200.58,4,4,0.00,241.43,0.00
162.159.26.147,4,4,0.00,241.44,0.00
104.16.198.171,4,4,0.00,241.44,0.00
104.24.146.44,4,4,0.00,241.45,0.00
104.16.195.119,4,4,0.00,241.45,0.00
104.18.207.253,4,4,0.00,241.47,0.00
104.17.99.251,4,4,0.00,241.49,0.00
104.16.155.242,4,4,0.00,241.52,0.00
104.17.76.185,4,4,0.00,241.56,0.00
104.18.240.223,4,4,0.00,241.57,0.00
104.20.84.186,4,4,0.00,241.57,0.00
104.17.33.28,4,4,0.00,241.57,0.00
104.27.14.12,4,4,0.00,241.57,0.00
172.65.153.217,4,4,0.00,241.57,0.00
104.24.8.90,4,4,0.00,241.62,0.00
104.17.90.186,4,4,0.00,241.63,0.00
194.36.49.148,4,4,0.00,241.63,0.00
104.18.67.195,4,4,0.00,241.66,0.00
45.94.169.240,4,4,0.00,241.68,0.00
104.20.14.160,4,4,0.00,241.71,0.00
104.18.68.8,4,4,0.00,241.71,0.00
203.32.120.213,4,4,0.00,241.74,0.00
104.24.17.177,4,4,0.00,241.76,0.00
104.18.34.157,4,4,0.00,241.81,0.00
104.24.131.3,4,4,0.00,241.81,0.00
104.19.43.90,4,4,0.00,241.82,0.00
104.24.67.54,4,4,0.00,241.82,0.00
172.66.157.163,4,4,0.00,241.85,0.00
104.19.78.203,4,4,0.00,241.86,0.00
162.159.7.154,4,4,0.00,241.86,0.00
104.19.3.27,4,4,0.00,241.86,0.00
104.17.199.64,4,4,0.00,241.89,0.00
104.16.164.160,4,4,0.00,241.89,0.00
45.95.241.138,4,4,0.00,241.91,0.00
104.17.141.72,4,4,0.00,241.93,0.00
104.27.120.180,4,4,0.00,242.00,0.00
172.64.81.26,4,4,0.00,242.01,0.00
104.27.52.238,4,4,0.00,242.03,0.00
172.66.174.67,4,4,0.00,242.04,0.00
104.24.156.117,4,4,0.00,242.06,0.00
104.20.188.204,4,4,0.00,242.06,0.00
198.41.214.103,4,4,0.00,242.08,0.00
104.17.188.97,4,4,0.00,242.09,0.00
104.24.18.154,4,4,0.00,242.09,0.00
104.18.119.185,4,4,0.00,242.11,0.00
172.65.141.158,4,4,0.00,242.21,0.00
104.19.181.59,4,4,0.00,242.22,0.00
185.170.166.106,4,4,0.00,242.23,0.00
104.17.81.121,4,4,0.00,242.24,0.00
104.24.61.104,4,4,0.00,242.25,0.00
104.18.115.244,4,4,0.00,242.26,0.00
104.21.52.102,4,4,0.00,242.29,0.00
104.20.226.171,4,4,0.00,242.32,0.00
104.17.79.104,4,4,0.00,242.36,0.00
104.27.113.73,4,4,0.00,242.36,0.00
172.65.74.33,4,4,0.00,242.38,0.00
104.17.147.51,4,4,0.00,242.40,0.00
104.25.210.75,4,4,0.00,242.43,0.00
104.19.179.183,4,4,0.00,242.45,0.00
104.17.189.159,4,4,0.00,242.47,0.00
104.24.183.32,4,4,0.00,242.48,0.00
104.20.40.207,4,4,0.00,242.52,0.00
104.24.138.116,4,4,0.00,242.52,0.00
104.25.98.194,4,4,0.00,242.53,0.00
104.17.180.93,4,4,0.00,242.54,0.00
104.18.143.35,4,4,0.00,242.56,0.00
104.17.184.138,4,4,0.00,242.57,0.00
104.18.99.233,4,4,0.00,242.57,0.00
104.20.238.253,4,4,0.00,242.59,0.00
162.159.62.211,4,4,0.00,242.59,0.00
104.17.191.80,4,4,0.00,242.60,0.00
104.19.240.79,4,4,0.00,242.62,0.00
104.17.74.114,4,4,0.00,242.63,0.00
195.245.221.163,4,4,0.00,242.63,0.00
172.66.203.250,4,4,0.00,242.64,0.00
104.20.92.49,4,4,0.00,242.65,0.00
104.19.79.4,4,4,0.00,242.65,0.00
45.85.119.156,4,4,0.00,242.66,0.00
104.18.30.59,4,4,0.00,242.70,0.00
192.65.217.211,4,4,0.00,242.77,0.00
172.65.82.176,4,4,0.00,242.78,0.00
104.16.172.48,4,4,0.00,242.78,0.00
104.18.29.144,4,4,0.00,242.81,0.00
104.19.217.88,4,4,0.00,242.82,0.00
104.16.186.59,4,4,0.00,242.84,0.00
104.25.33.186,4,4,0.00,242.84,0.00
104.24.28.0,4,4,0.00,242.85,0.00
104.27.25.140,4,4,0.00,242.88,0.00
104.20.229.106,4,4,0.00,242.89,0.00
104.24.56.217,4,4,0.00,242.90,0.00
172.66.194.210,4,4,0.00,242.92,0.00
104.17.217.126,4,4,0.00,242.93,0.00
172.65.158.211,4,4,0.00,242.95,0.00
104.18.123.195,4,4,0.00,242.96,0.00
104.25.26.253,4,4,0.00,242.97,0.00
104.17.132.8,4,4,0.00,243.02,0.00
104.25.143.102,4,4,0.00,243.05,0.00
104.20.12.51,4,4,0.00,243.06,0.00
104.16.182.170,4,4,0.00,243.07,0.00
104.20.255.246,4,4,0.00,243.08,0.00
198.41.215.175,4,4,0.00,243.15,0.00
172.67.156.200,4,4,0.00,243.15,0.00
104.17.53.124,4,4,0.00,243.18,0.00
104.20.1.108,4,4,0.00,243.22,0.00
104.24.241.53,4,4,0.00,243.23,0.00
104.24.74.138,4,4,0.00,243.26,0.00
172.66.159.224,4,4,0.00,243.28,0.00
104.19.148.146,4,4,0.00,243.28,0.00
104.16.93.120,4,4,0.00,243.30,0.00
104.24.145.218,4,4,0.00,243.31,0.00
104.24.88.242,4,4,0.00,243.32,0.00
104.19.223.122,4,4,0.00,243.32,0.00
172.67.117.241,4,4,0.00,243.33,0.00
172.66.44.66,4,4,0.00,243.33,0.00
104.17.192.125,4,4,0.00,243.33,0.00
104.18.171.161,4,4,0.00,243.38,0.00
162.159.249.249,4,4,0.00,243.39,0.00
104.18.31.146,4,4,0.00,243.43,0.00
104.16.146.105,4,4,0.00,243.46,0.00
104.25.113.135,4,4,0.00,243.47,0.00
104.20.23.150,4,4,0.00,243.52,0.00
172.65.255.37,4,4,0.00,243.52,0.00
162.159.23.115,4,4,0.00,243.53,0.00
104.16.180.132,4,4,0.00,243.56,0.00
104.25.19.121,4,4,0.00,243.60,0.00
172.65.195.96,4,4,0.00,243.61,0.00
147.185.161.186,4,4,0.00,243.63,0.00
104.17.169.71,4,4,0.00,243.65,0.00
172.67.203.133,4,4,0.00,243.66,0.00
104.20.177.114,4,4,0.00,243.69,0.00
104.22.70.71,4,4,0.00,243.72,0.00
104.20.62.195,4,4,0.00,243.74,0.00
203.34.80.22,4,4,0.00,243.75,0.00
104.25.27.36,4,4,0.00,243.75,0.00
216.120.181.7,4,4,0.00,243.79,0.00
104.19.23.195,4,4,0.00,243.82,0.00
104.19.184.232,4,4,0.00,243.86,0.00
104.18.189.84,4,4,0.00,243.86,0.00
104.25.11.209,4,4,0.00,243.90,0.00
104.17.58.179,4,4,0.00,243.91,0.00
104.25.73.194,4,4,0.00,243.91,0.00
172.66.149.53,4,4,0.00,243.93,0.00
104.24.135.218,4,4,0.00,243.93,0.00
45.159.216.39,4,4,0.00,243.94,0.00
104.16.65.121,4,4,0.00,243.96,0.00
172.66.142.106,4,4,0.00,243.97,0.00
104.16.239.91,4,4,0.00,244.01,0.00
172.65.170.236,4,4,0.00,244.02,0.00
104.18.235.88,4,4,0.00,244.03,0.00
104.22.67.103,4,4,0.00,244.06,0.00
104.24.80.90,4,4,0.00,244.07,0.00
104.17.82.154,4,4,0.00,244.08,0.00
104.25.144.51,4,4,0.00,244.10,0.00
104.17.243.165,4,4,0.00,244.10,0.00
104.16.67.17,4,4,0.00,244.11,0.00
104.22.47.17,4,4,0.00,244.19,0.00
45.131.208.193,4,4,0.00,244.24,0.00
104.24.6.115,4,4,0.00,244.30,0.00
104.18.91.31,4,4,0.00,244.31,0.00
172.67.29.200,4,4,0.00,244.33,0.00
104.16.125.222,4,4,0.00,244.39,0.00
104.20.60.5,4,4,0.00,244.40,0.00
162.159.197.69,4,4,0.00,244.41,0.00
104.18.166.151,4,4,0.00,244.43,0.00
104.20.24.209,4,4,0.00,244.44,0.00
172.65.200.114,4,4,0.00,244.48,0.00
31.12.75.237,4,4,0.00,244.52,0.00
104.24.5.62,4,4,0.00,244.56,0.00
172.66.146.219,4,4,0.00,244.57,0.00
104.25.162.236,4,4,0.00,244.57,0.00
104.18.64.113,4,4,0.00,244.58,0.00
104.17.248.84,4,4,0.00,244.59,0.00
156.252.2.165,4,4,0.00,244.60,0.00
104.25.213.233,4,4,0.00,244.61,0.00
104.17.113.190,4,4,0.00,244.62,0.00
104.20.210.40,4,4,0.00,244.62,0.00
172.67.255.66,4,4,0.00,244.63,0.00
104.17.78.154,4,4,0.00,244.66,0.00
104.20.242.14,4,4,0.00,244.68,0.00
104.25.16.201,4,4,0.00,244.70,0.00
104.19.116.70,4,4,0.00,244.70,0.00
45.85.118.133,4,4,0.00,244.72,0.00
104.24.180.52,4,4,0.00,244.72,0.00
104.24.45.98,4,4,0.00,244.73,0.00
104.24.224.148,4,4,0.00,244.73,0.00
104.18.227.165,4,4,0.00,244.77,0.00
162.159.196.221,4,4,0.00,244.77,0.00
104.19.64.31,4,4,0.00,244.81,0.00
104.16.191.250,4,4,0.00,244.84,0.00
104.18.134.24,4,4,0.00,244.85,0.00
104.24.191.33,4,4,0.00,244.88,0.00
104.27.38.201,4,4,0.00,244.89,0.00
104.17.126.111,4,4,0.00,244.90,0.00
104.19.65.94,4,4,0.00,244.91,0.00
172.65.253.211,4,4,0.00,244.93,0.00
45.131.5.129,4,4,0.00,244.95,0.00
104.24.93.139,4,4,0.00,244.96,0.00
172.66.153.23,4,4,0.00,244.98,0.00
104.24.210.174,4,4,0.00,245.00,0.00
170.114.45.44,4,4,0.00,245.00,0.00
104.17.124.72,4,4,0.00,245.00,0.00
104.19.123.170,4,4,0.00,245.06,0.00
104.18.24.199,4,4,0.00,245.08,0.00
104.16.150.195,4,4,0.00,245.09,0.00
104.27.42.28,4,4,0.00,245.10,0.00
104.18.163.202,4,4,0.00,245.11,0.00
104.18.12.224,4,4,0.00,245.12,0.00
104.25.66.43,4,4,0.00,245.14,0.00
172.65.115.155,4,4,0.00,245.19,0.00
185.193.31.58,4,4,0.00,245.20,0.00
104.18.253.146,4,4,0.00,245.21,0.00
104.18.23.112,4,4,0.00,245.25,0.00
104.20.140.53,4,4,0.00,245.25,0.00
104.18.192.29,4,4,0.00,245.26,0.00
104.17.164.245,4,4,0.00,245.27,0.00
172.66.40.40,4,4,0.00,245.29,0.00
104.18.28.139,4,4,0.00,245.29,0.00
104.18.8.156,4,4,0.00,245.32,0.00
172.66.143.242,4,4,0.00,245.33,0.00
104.16.192.43,4,4,0.00,245.36,0.00
104.18.21.22,4,4,0.00,245.37,0.00
172.64.85.125,4,4,0.00,245.38,0.00
104.24.16.242,4,4,0.00,245.39,0.00
104.18.26.241,4,4,0.00,245.42,0.00
104.27.104.45,4,4,0.00,245.43,0.00
172.67.84.97,4,4,0.00,245.44,0.00
104.17.159.115,4,4,0.00,245.45,0.00
172.64.93.30,4,4,0.00,245.46,0.00
104.17.88.188,4,4,0.00,245.48,0.00
104.20.227.173,4,4,0.00,245.48,0.00
46.8.199.225,4,4,0.00,245.49,0.00
104.25.140.150,4,4,0.00,245.49,0.00
104.17.122.42,4,4,0.00,245.56,0.00
104.17.75.182,4,4,0.00,245.58,0.00
104.17.167.41,4,4,0.00,245.60,0.00
104.18.226.246,4,4,0.00,245.63,0.00
155.46.213.176,4,4,0.00,245.64,0.00
172.66.202.108,4,4,0.00,245.65,0.00
172.67.185.192,4,4,0.00,245.66,0.00
104.16.203.69,4,4,0.00,245.68,0.00
104.16.177.131,4,4,0.00,245.68,0.00
104.17.114.247,4,4,0.00,245.73,0.00
162.159.57.65,4,4,0.00,245.74,0.00
104.27.87.196,4,4,0.00,245.74,0.00
104.27.11.138,4,4,0.00,245.75,0.00
104.23.118.139,4,4,0.00,245.75,0.00
104.22.43.54,4,4,0.00,245.75,0.00
147.78.140.121,4,4,0.00,245.76,0.00
104.20.21.120,4,4,0.00,245.76,0.00
104.20.215.250,4,4,0.00,245.76,0.00
104.17.49.90,4,4,0.00,245.79,0.00
172.67.120.128,4,4,0.00,245.79,0.00
104.24.31.221,4,4,0.00,245.80,0.00
104.20.39.82,4,4,0.00,245.80,0.00
203.13.32.174,4,4,0.00,245.81,0.00
104.24.195.202,4,4,0.00,245.81,0.00
104.17.170.115,4,4,0.00,245.81,0.00
104.23.106.213,4,4,0.00,245.82,0.00
104.24.62.199,4,4,0.00,245.82,0.00
45.131.4.56,4,4,0.00,245.83,0.00
104.19.188.9,4,4,0.00,245.87,0.00
104.25.105.18,4,4,0.00,245.88,0.00
104.22.78.220,4,4,0.00,245.90,0.00
104.19.195.16,4,4,0.00,245.91,0.00
104.20.90.112,4,4,0.00,245.94,0.00
104.18.127.146,4,4,0.00,245.94,0.00
104.27.83.238,4,4,0.00,245.97,0.00
172.65.227.77,4,4,0.00,246.00,0.00
104.24.58.80,4,4,0.00,246.00,0.00
104.17.41.106,4,4,0.00,246.03,0.00
104.17.57.44,4,4,0.00,246.09,0.00
172.64.88.132,4,4,0.00,246.10,0.00
104.24.132.128,4,4,0.00,246.12,0.00
104.16.159.95,4,4,0.00,246.15,0.00
104.20.34.210,4,4,0.00,246.17,0.00
104.27.61.253,4,4,0.00,246.21,0.00
104.18.139.161,4,4,0.00,246.21,0.00
104.19.51.215,4,4,0.00,246.21,0.00
104.17.86.19,4,4,0.00,246.23,0.00
172.66.168.55,4,4,0.00,246.24,0.00
104.25.20.229,4,4,0.00,246.26,0.00
104.17.108.102,4,4,0.00,246.27,0.00
104.22.42.156,4,4,0.00,246.27,0.00
172.65.206.253,4,4,0.00,246.28,0.00
89.47.56.97,4,4,0.00,246.30,0.00
172.67.87.217,4,4,0.00,246.33,0.00
104.16.149.127,4,4,0.00,246.34,0.00
104.24.213.15,4,4,0.00,246.34,0.00
172.65.103.128,4,4,0.00,246.35,0.00
104.18.158.189,4,4,0.00,246.35,0.00
104.17.161.243,4,4,0.00,246.35,0.00
104.17.237.177,4,4,0.00,246.37,0.00
104.16.87.49,4,4,0.00,246.41,0.00
104.20.206.152,4,4,0.00,246.49,0.00
172.65.8.84,4,4,0.00,246.51,0.00
104.25.139.165,4,4,0.00,246.54,0.00
104.25.99.239,4,4,0.00,246.55,0.00
172.67.86.7,4,4,0.00,246.58,0.00
45.131.210.152,4,4,0.00,246.61,0.00
104.27.72.199,4,4,0.00,246.63,0.00
104.25.45.57,4,4,0.00,246.63,0.00
104.24.208.105,4,4,0.00,246.63,0.00
104.19.146.152,4,4,0.00,246.65,0.00
172.64.157.29,4,4,0.00,246.70,0.00
104.25.34.187,4,4,0.00,246.73,0.00
198.41.223.188,4,4,0.00,246.75,0.00
185.59.218.239,4,4,0.00,246.75,0.00
