IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.143.184,4,4,0.00,219.44,0.00
145.36.144.205,4,4,0.00,219.48,0.00
104.17.136.2,4,4,0.00,219.54,0.00
172.65.178.251,4,4,0.00,219.56,0.00
104.22.18.162,4,4,0.00,219.65,0.00
104.16.142.110,4,4,0.00,219.68,0.00
172.65.191.130,4,4,0.00,219.76,0.00
162.159.152.25,4,4,0.00,219.81,0.00
172.65.182.234,4,4,0.00,219.82,0.00
104.27.24.253,4,4,0.00,219.90,0.00
162.159.160.231,4,4,0.00,219.93,0.00
104.19.167.117,4,4,0.00,219.94,0.00
104.18.78.244,4,4,0.00,219.98,0.00
104.18.76.37,4,4,0.00,220.02,0.00
104.17.241.223,4,4,0.00,220.04,0.00
172.67.13.130,4,4,0.00,220.05,0.00
172.65.221.15,4,4,0.00,220.08,0.00
104.24.27.174,4,4,0.00,220.08,0.00
172.65.220.147,4,4,0.00,220.10,0.00
104.20.54.214,4,4,0.00,220.15,0.00
104.16.139.242,4,4,0.00,220.15,0.00
104.19.234.154,4,4,0.00,220.22,0.00
104.18.77.119,4,4,0.00,220.23,0.00
104.16.165.254,4,4,0.00,220.29,0.00
103.11.212.18,4,4,0.00,220.35,0.00
104.17.238.198,4,4,0.00,220.37,0.00
104.16.134.193,4,4,0.00,220.40,0.00
104.20.59.104,4,4,0.00,220.40,0.00
104.16.6.102,4,4,0.00,220.41,0.00
104.22.28.19,4,4,0.00,220.47,0.00
104.16.26.133,4,4,0.00,220.71,0.00
104.16.102.135,4,4,0.00,220.74,0.00
172.65.177.163,4,4,0.00,220.76,0.00
104.16.133.171,4,4,0.00,220.92,0.00
172.65.187.241,4,4,0.00,220.94,0.00
172.65.212.111,4,4,0.00,220.97,0.00
104.16.0.244,4,4,0.00,221.04,0.00
104.22.21.225,4,4,0.00,221.06,0.00
104.18.74.167,4,4,0.00,221.16,0.00
172.65.211.121,4,4,0.00,221.49,0.00
104.17.130.139,4,4,0.00,221.55,0.00
104.16.15.168,4,4,0.00,221.64,0.00
104.16.128.113,4,4,0.00,221.66,0.00
172.65.189.207,4,4,0.00,221.78,0.00
172.65.219.127,4,4,0.00,221.81,0.00
104.19.187.201,4,4,0.00,221.82,0.00
104.22.15.218,4,4,0.00,221.83,0.00
104.19.60.51,4,4,0.00,221.85,0.00
172.67.10.111,4,4,0.00,221.88,0.00
104.19.249.205,4,4,0.00,221.97,0.00
172.65.213.212,4,4,0.00,221.98,0.00
104.19.164.126,4,4,0.00,221.98,0.00
104.24.215.17,4,4,0.00,222.01,0.00
172.65.193.234,4,4,0.00,222.03,0.00
104.16.103.214,4,4,0.00,222.10,0.00
104.19.175.178,4,4,0.00,222.19,0.00
104.16.51.201,4,4,0.00,222.23,0.00
172.67.9.25,4,4,0.00,222.29,0.00
104.16.148.9,4,4,0.00,222.34,0.00
104.22.20.133,4,4,0.00,222.36,0.00
104.16.118.149,4,4,0.00,222.41,0.00
104.16.1.178,4,4,0.00,222.49,0.00
104.18.79.136,4,4,0.00,222.54,0.00
104.16.37.252,4,4,0.00,222.63,0.00
104.16.48.178,4,4,0.00,222.73,0.00
104.16.52.106,4,4,0.00,222.76,0.00
104.22.23.142,4,4,0.00,222.76,0.00
104.16.230.115,4,4,0.00,222.78,0.00
104.22.12.71,4,4,0.00,222.84,0.00
104.16.50.143,4,4,0.00,222.85,0.00
104.19.226.219,4,4,0.00,222.98,0.00
104.19.230.56,4,4,0.00,223.07,0.00
104.20.52.106,4,4,0.00,223.17,0.00
104.16.41.81,4,4,0.00,223.20,0.00
104.17.183.99,4,4,0.00,223.28,0.00
172.65.242.92,4,4,0.00,223.29,0.00
172.65.218.171,4,4,0.00,223.42,0.00
172.65.168.29,4,4,0.00,223.48,0.00
104.18.3.88,4,4,0.00,223.57,0.00
104.16.21.253,4,4,0.00,223.58,0.00
104.18.239.37,4,4,0.00,223.64,0.00
104.18.238.1,4,4,0.00,223.67,0.00
104.16.60.204,4,4,0.00,223.68,0.00
104.20.50.24,4,4,0.00,223.70,0.00
172.66.162.214,4,4,0.00,223.70,0.00
104.24.90.67,4,4,0.00,223.72,0.00
104.16.129.70,4,4,0.00,223.75,0.00
104.20.51.130,4,4,0.00,223.79,0.00
172.65.176.109,4,4,0.00,223.87,0.00
104.18.243.244,4,4,0.00,223.88,0.00
104.20.56.184,4,4,0.00,223.89,0.00
172.67.25.54,4,4,0.00,223.98,0.00
104.19.235.189,4,4,0.00,223.98,0.00
104.22.6.144,4,4,0.00,224.09,0.00
104.17.115.40,4,4,0.00,224.15,0.00
172.65.208.146,4,4,0.00,224.15,0.00
216.116.134.175,4,4,0.00,224.18,0.00
104.25.109.210,4,4,0.00,224.21,0.00
104.17.105.191,4,4,0.00,224.22,0.00
104.22.25.243,4,4,0.00,224.26,0.00
104.19.238.99,4,4,0.00,224.29,0.00
104.17.5.209,4,4,0.00,224.29,0.00
172.66.41.17,4,4,0.00,224.30,0.00
162.159.3.191,4,4,0.00,224.35,0.00
104.19.236.157,4,4,0.00,224.45,0.00
104.16.70.200,4,4,0.00,224.54,0.00
172.65.164.190,4,4,0.00,224.55,0.00
104.19.237.238,4,4,0.00,224.57,0.00
172.67.95.125,4,4,0.00,224.59,0.00
104.16.39.238,4,4,0.00,224.67,0.00
104.19.120.189,4,4,0.00,224.70,0.00
104.16.56.207,4,4,0.00,224.75,0.00
172.66.46.158,4,4,0.00,224.77,0.00
172.65.81.224,4,4,0.00,224.83,0.00
104.18.2.87,4,4,0.00,224.83,0.00
104.18.0.119,4,4,0.00,224.85,0.00
104.22.4.106,4,4,0.00,224.91,0.00
104.16.4.207,4,4,0.00,224.98,0.00
104.18.182.152,4,4,0.00,224.99,0.00
104.22.26.152,4,4,0.00,225.02,0.00
104.17.106.26,4,4,0.00,225.03,0.00
104.20.53.52,4,4,0.00,225.11,0.00
104.18.193.95,4,4,0.00,225.17,0.00
172.65.217.36,4,4,0.00,225.17,0.00
104.16.19.126,4,4,0.00,225.32,0.00
104.24.133.227,4,4,0.00,225.44,0.00
104.16.107.188,4,4,0.00,225.58,0.00
203.30.188.207,4,4,0.00,225.59,0.00
104.17.255.84,4,4,0.00,225.61,0.00
104.16.57.113,4,4,0.00,225.61,0.00
104.16.252.61,4,4,0.00,225.61,0.00
104.22.19.116,4,4,0.00,225.62,0.00
104.16.106.19,4,4,0.00,225.69,0.00
